// Mythical creatures
Angel, Creature, CreatureMagical, CreatureFamilyOther, CreatureSizeLarge, Holy, Era(Fantasy)
Deamon, Creature, CreatureMagical, CreatureFamilyOther, CreatureSizeLarge, Evil, Era(Fantasy)
Devil, Creature, CreatureMagical, CreatureFamilyOther, CreatureSizeLarge, Evil, Era(Fantasy)
Dragon, Creature, CreatureBeast, CreatureFamilyReptile, CreatureSizeGreat, Era(Fantasy)
Hydra, Creature, CreatureBeast, CreatureFamilyReptile, CreatureSizeGreat, Era(Fantasy)
Roc, Creature, CreatureBeast, CreatureFamilyBird, CreatureSizeGreat, Era(Fantasy)
Titan, Creature, CreatureBeast, CreatureFamilyMammal, CreatureSizeGreat, Era(Fantasy)
Collosus, Creature, CreatureBeast, CreatureFamilyMammal, CreatureSizeLarge, Era(Fantasy)
// Sentient creatures
Human, Creature, CreatureSentient, CreatureFamilyMammal, CreatureSizeNormal
Gecko, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeSmall
Python, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeSmall, CreatureDietCarnivorous
Rattlesnake, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeSmall, CreatureDietCarnivorous
//      insects
Bee, Creature, CreatureAnimal, CreatureFamilyInsect, CreatureSizeTiny
Beetle, Creature, CreatureAnimal, CreatureFamilyInsect, CreatureSizeTiny
Butterfly, Creature, CreatureAnimal, CreatureFamilyInsect, CreatureSizeTiny
Dragonfly, Creature, CreatureAnimal, CreatureFamilyInsect, CreatureSizeTiny
Scorpion, Creature, CreatureAnimal, CreatureFamilyInsect, CreatureSizeTiny, CreatureDietCarnivorous
Firefly, Creature, CreatureAnimal, CreatureFamilyInsect, CreatureSizeTiny
Grasshopper, Creature, CreatureAnimal, CreatureFamilyInsect, CreatureSizeTiny
Louse, Creature, CreatureAnimal, CreatureFamilyInsect, CreatureSizeTiny
Mantis, Creature, CreatureAnimal, CreatureFamilyInsect, CreatureSizeTiny, CreatureDietCarnivorous
Moth, Creature, CreatureAnimal, CreatureFamilyInsect, CreatureSizeTiny
Spider, Creature, CreatureAnimal, CreatureFamilyInsect, CreatureSizeTiny, CreatureDietCarnivorous
Wasp, Creature, CreatureAnimal, CreatureFamilyInsect, CreatureSizeTiny
Hornet, Creature, CreatureAnimal, CreatureFamilyInsect, CreatureSizeTiny
//  SEA
//      mamals
Beaver, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Elephant Seal, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeLarge, CreatureDietCarnivorous
Harp Seal, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall, CreatureDietCarnivorous
Hippopotamus, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Narwhal, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeLarge, CreatureDietCarnivorous
Orca, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeLarge, CreatureDietCarnivorous
Platypus, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Otter, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall, CreatureDietCarnivorous
Sperm Whale, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeLarge
Walrus, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal, CreatureDietCarnivorous
//      birds
Albatross, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall, CreatureDietCarnivorous
Emperor Penguin, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeNormal, CreatureDietCarnivorous
Little Penguin, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall, CreatureDietCarnivorous
Penguin, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall, CreatureDietCarnivorous
Puffin, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall, CreatureDietCarnivorous
//      reptiles
Snapping Turtle, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeSmall, CreatureDietCarnivorous
Pond Turtle, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeSmall
Saltwater Crocodile, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeNormal, CreatureDietCarnivorous
Sea Serpent, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeGreat, Era(Fantasy), CreatureDietCarnivorous
Sea Monster, , Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeGreat, Era(Fantasy), CreatureDietCarnivorous
//      fish
Angelshark, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall, CreatureDietCarnivorous
Basking Shark, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeNormal, CreatureDietCarnivorous
Blacktip Reef Shark, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall, CreatureDietCarnivorous
Blue Shark, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeNormal, CreatureDietCarnivorous
Bluefin Tuna, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall, CreatureDietCarnivorous
Bluefish, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall
Bull Shark, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeNormal, CreatureDietCarnivorous
Carp, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall
Cod, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall
Coelacanth, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall
Common Skate, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeNormal
Conger Eel, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall
Frill Shark, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall, CreatureDietCarnivorous
Great Barracuda, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall
Great White Shark, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeLarge, CreatureDietCarnivorous
Halibut, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall
Hammerhead Shark, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeNormal, CreatureDietCarnivorous
Longfin Mako Shark, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeNormal, CreatureDietCarnivorous
Longnose Gar, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall
Manta Ray, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeNormal
Marlin, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeNormal
Milkfish, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall
Nurse Shark, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeNormal, CreatureDietCarnivorous
Ocean Sunfish, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeLarge
Pike, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall
Sea Lampray, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall
Shortfin Mako Shark, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall, CreatureDietCarnivorous
Spiny Dogfish, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall
Stingray, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall
Sturgeon, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall
Whale Shark, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeLarge, CreatureDietCarnivorous
Whitetip Reef Shark, Creature, CreatureAnimal, CreatureFamilyFish, CreatureSizeSmall, CreatureDietCarnivorous
