// abstract concepts
Abyss, AbstractConcept, GlobalSingular
Arch, AbstractConcept
Church, Construction, Holy
Citadel, Construction
Cottage, Construction
// subconstruction
Basement, SubConstruction
Bath, Subconstruction
Cavity, Subconstruction
Ceiling, Subconstruction
Cell, Subconstruction
Chamber, Subconstruction
Cloister, Subconstruction, Holy
Column, Subconstruction
Corridor, SubConstruction
Crypt, Subconstruction
Drain, SubConstruction
Dungeon, SubConstruction
Entrance, SubConstruction
// world feature
Air, WorldFeature
Autumn, WorldFeature, GlobalSingular
Continent, WorldFeature
Cosmos, WorldFeature, Symbolic
Darkness, WorldFeature, AbstractConcept, Symbolic
Dawn, WorldFeature, Symbolic
Day, WorldFeature, Symbolic
Dusk, WorldFeature, Symbolic
Ground, WorldFeature, GlobalSingular
Light, WorldFeature, AbstractConcept, Symbolic
Sky, WorldFeature, GlobalSingular, Symbolic
Spring, WorldFeature, GlobalSingular
Star, WorldFeature
Stars, WorldFeature, GlobalSingular, Symbolic
Summer, WorldFeature, GlobalSingular
Sun, WorldFeature, GlobalSingular, Symbolic
Winter, WorldFeature, GlobalSingular
// geographic feature
Abyss, GeographicFeature, Symblic
Bank, GeographicFeature
Basin, GeographicalFeature
Beach, GeographicalFeature
Bog, GeographicalFeature
Canyon, GeographicalFeature
Cave, GeographicalFeature, Settlement
Cavern, GeographicalFeature, Settlement
Chasm, GeographicalFeature
Coast, GeographicalFeature
Crater, GeographicalFeature
Crevice, GeographicalFeature
Desert, GeographicalFeature
// settlement
Camp, Settlement
Castle, Settlement, Construction
Cathedral, Settlement, Construction, Holy
City, Settlement
Town, Settlement
Village, Settlement
// event
Battle, Event
Blockade, Event
Conjunction, Event
// weather
Blizzard, Weather
Drought, Weather
Gale, Weather
Hurricane, Weather
Lightning, Weather
Monsoon, Weather
Sand-storm, Weather
Snow-storm, Weather
Storm, Weather
Thunder, Weather
// body parts
Ankle, BodyPart
Arm, BodyPart, Symbolic
Beak, BodyPart
Beard, BodyPart
Blood, BodyPart, Symbolic
Bone, BodyPart, Symbolic
Brain, BodyPart, Symbolic
Chest, BodyPart
Claw, BodyPart
Ear, BodyPart, Symbolic
Elbow, BodyPart
Eye, BodyPart, Symbolic
Foot, BodyPart
Head, BodyPart, Symbolic
Knee, BodyPart
Leg, BodyPart
Neck, BodyPart
Nose, BodyPart, Symbolic
// plants
Cactus, Plant
// trees
Alder, Plant, Tree
Ash, Plant, Tree
Aspen, Plant, Tree
Beech, Plant, Tree
Birch, Plant, Tree
Blackthorn, Plant, Tree
Buckthorn, Plant, Tree
Cedar, Plant, Tree
Cypress, Plant, Tree
Elder, Plant, Tree
Elm, Plant, Tree
Fir, Plant, Tree
Hawthorn, Plant, Tree
Hazel, Plant, Tree
Hornbeam, Plant, Tree
Maple, Plant, Tree
Oak, Plant, Tree
Pine, Plant, Tree
Rowan, Plant, Tree
Willow, Plant, Tree
Yew, Plant, Tree
// flowers
Bell Flower, Plant, Flower
Carnation, Plant, Flower
Columbine, Plant, Flower
Daffodil, Plant, Flower
Foxglove, Plant, Flower
Hyacinth, Plant, Flower
Iris, Plant, Flower
Larkspur, Plant, Flower
Lilac, Plant, Flower
Lilly, Plant, Flower
Marigold, Plant, Flower
Mimosa, Plant, Flower
Primrose, Plant, Flower
Windflower, Plant, Flower
// food
Apple, Food, Plant
Bean, Food, Plant
Berry, Food, Plant
Bread, Food, Product
Butter, Food, Product
Cake, Food, Product
Candy, Food, Product
Cheese, Food, Product
Chestnut, Food, Plant
Chocolate, Food, Product
Date, Food, Plant
Dumpling, Food
Egg, Food
// Titles
